SEARCH,YEARS,PATTRN,HASHfile
 			size_t nmap = sizeof(oakley_t.., 2017 ,.*sizeof.*\/sizeof.*,/tmp/work/0/0f8126cf74b3e14ae9af227c6b0f6af0d346358b45ab8576f20558d2130b20f1
     if ((sun_info.length*sizeof(.., 2016 ,.*sizeof.*\/sizeof.*,/tmp/work/0/03f925208cb62c4d66ef074b4a7dd72afff7c1b6661d0b72838b7a2d46ef42b4
"    <meta name=""description"" cont..", 2020 ,.*sizeof.*\/sizeof.*,/tmp/work/0/06f1dd68278f384417a69a170818f2afda1376be7e74d044318b2af9308db487
"<a href=""#l2.97""></a><span id=""l2..", 2017 ,.*sizeof.*\/sizeof.*,/tmp/work/0/05edd482c1d80cee676088edb947803712b92a03a247c5428678f3bb2c0ee628
"<span id=""l27.41"" class=""plusline..", 2013 ,.*sizeof.*\/sizeof.*,/tmp/work/0/0cfbb57c63edc8d45c213c8ec13b743eee092cb33fff4636322da429c81ca4c6
+                                .., 2017 ,.*sizeof.*\/sizeof.*,/tmp/work/0/0ce7cdd6c10266e19c41eac3fc454e8ad4e20fab4e6073435f705107c0eb9823
       if (format &gt;= (sizeof(t.., 2012 ,.*sizeof.*\/sizeof.*,/tmp/work/0/05ffec08292f4219b05fc3538d6d0632831dbaaf9d5d50fde4b3d58c5b220127
"        <a class=""avatar avatar-u..", 2020 ,.*sizeof.*\/sizeof.*,/tmp/work/0/01b742fdad3c77ae3bb2f3f897b6611812ec85f9034dc6772e33b1a642943968
  for(i=0; i&lt;sizeof(aCmd)/size.., 2020 ,.*sizeof.*\/sizeof.*,/tmp/work/1/1f5245c963113f9bafb202bc4b48a272a2d213692e3b5b34fe6179e8dcb6f8c6
+-  if (nObjects*(int)sizeof(int).., 2009 ,.*sizeof.*\/sizeof.*,/tmp/work/1/1cc50e860c3f7f3961deed74f996b2d9e9aeb9fd97418db86e8cdaf2da89d611
  for(i=0; i&lt;sizeof(azDirs)/si.., 2016 ,.*sizeof.*\/sizeof.*,/tmp/work/2/2ecac5ef97d09d22da23d7ddaaf2ead0f4239f6f6d8267f56aa82f72acc2b4be
"+    gdImageSetStyle(im, style, s..", 2018 ,.*sizeof.*\/sizeof.*,/tmp/work/2/25e336aa0e3ba4fbb56a5e4c5ca01b68447b57983f9d750c928f2aebc3b5b917
&gt;                    sizeof(gC.., 2016 ,.*sizeof.*\/sizeof.*,/tmp/work/2/20e67891b5445f0603322b3a206cef118369191b44bed2c4034bc4ad92585fdd
+-  if (nObjects*(int)sizeof(int).., 2009 ,.*sizeof.*\/sizeof.*,/tmp/work/2/2c9b156e5b1ce9b64137633a60c29431c687a95069b7dbe54f79c3ffc1567e6f
+        if (x_dpi / 60 >= sizeof.., 2020 ,.*sizeof.*\/sizeof.*,/tmp/work/3/3969b9f3752bb1f9ba0e00dbbc9e42aaddc6bd928f6c85ef99b7f021c726e4b6
        len = sizeof(buffer)/size.., 2021 ,.*sizeof.*\/sizeof.*,/tmp/work/3/327634588fe9023f217fadad2f4468fe1cd676b5b78dcef4aa263e867dd0fd55
</table><div class='diffstat-summ.., 2017 ,.*sizeof.*\/sizeof.*,/tmp/work/4/42c5bd98c08a683d36b38d6e347bca50e93f9cf89e2f87d610eaccdafe040c40
     (sizeof(PVSCSICmdDescSetupRi.., 2016 ,.*sizeof.*\/sizeof.*,/tmp/work/5/53dbd65737410fcb677db2e5288fe96967d2ab49fb84862d525f533b62bcc28b
       if (format &gt;= (sizeof(t.., ,.*sizeof.*\/sizeof.*,/tmp/work/7/7d6184ef13a7786e30e1a0d37f4f61a6b7f1533c3e71fcdb99b34d891ba30bc5
 			size_t nmap = sizeof(oakley_t.., 2017 ,.*sizeof.*\/sizeof.*,/tmp/work/7/74169a79b49b5fb276f8e116e4c71f2c0ed477b48d1edc0c57cd14e46180101f
&gt;-    NS_tsnprintf(stagedParen.., 2016 ,.*sizeof.*\/sizeof.*,/tmp/work/8/80f87e1933651c7bc07d98def818ff6eb73f8e16673d974b9f989e6924682051
"             snprintf(fname, size..", 2020 ,.*sizeof.*\/sizeof.*,/tmp/work/8/80858be329678c372335a20c6316c09002625a44678d6ed241936b7993cf6156
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;.., 2006 ,.*sizeof.*\/sizeof.*,/tmp/work/8/84d937b11e99ee9d2e902c4027cc29097cb50d2a22f743d72eedab3cf497e12c
"&gt;   NS_tsnprintf(manifest, siz..", 2014 ,.*sizeof.*\/sizeof.*,/tmp/work/9/96d3edf95b4a5b1f80f9451e69a8346dc4b691713511307633d74f773726545e
