SEARCH,YEARS,PATTRN,HASHfile
NaN, ,IsNaN|NaN,/tmp/work/0/046c9b0bb768b7ac66263217f1fe9270099cc66923919848226afb7932afcd12
NaN, 2015 ,IsNaN|NaN,/tmp/work/0/0e51f181cebb915498a62fdd1051ba135d16292e496d99b13a8f3bb919492a48
NaN, 2010 ,IsNaN|NaN,/tmp/work/0/085090ab9f4ac37f2a84fa8fc6822c775fe03b87a7247f32fc613d21a3ac8a33
NaN, ,IsNaN|NaN,/tmp/work/0/0db6a016ef56b7c2d5e0e92ae8ff7743c5871197ab4443cf929f9b30e05228c4
NaN, ,IsNaN|NaN,/tmp/work/0/0dfa0e2bcf229ea54b2227ffd4661a0e0e0564bc22b5b60c57ba440fcc1c4ec9
NaN, 2020 ,IsNaN|NaN,/tmp/work/0/01d9ee6f4cce96a115484588c1d0af4b840e4968f805ca4452febdc4fb0d6614
NaN, 2015 ,IsNaN|NaN,/tmp/work/0/029753853b83775d2c2ae127a698d025e50c511f43b6fe6fe99bfe9a5220f8a2
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/08eaf245587726327ae7aaa1e67c951dc875b18e02a6b9dd9dce645cb721a7d5
NaN, 2008 ,IsNaN|NaN,/tmp/work/0/0828a989025b67425085d8db59045ddfc9928a81a7779feaf7eafad6d3b85764
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/0ae4e9a467dd10dd0cf3d52ebf28f998fd156274d9f2453178602d159f5932bc
NaN, 2008 ,IsNaN|NaN,/tmp/work/0/06d552e942c3b0b4d01d953d8d9098100aa3df2c7c93f6fc16de668b4f473816
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/01304c9723d827b93617e61ee6565e88402659357f59c735698518ef3d4e5928
NaN, 2020 ,IsNaN|NaN,/tmp/work/0/0b2c2f808e5bfdfa52b2ad90c9723862e9ec50ea3c77e371e6cfda2b3e49838c
NaN, 2017 ,IsNaN|NaN,/tmp/work/0/02e5dec8cc5a7d865a563d7f6b30850620943fd8ed3a4ccd167af29f9fbf709f
NaN, ,IsNaN|NaN,/tmp/work/0/0e8686a526b676621d9621d0c8589d51d5dd381e78e3fda5330d96420fa1ad14
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/0c9e12cd3170d3413af330de14be66281b48726a0e7574896c342f7b588a1672
NaN, 2020 ,IsNaN|NaN,/tmp/work/0/0804290158fafe875db2028945cb7ccdd2a3fa13ecd8eeccfca7e0ed09950712
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/0b69a6fd5629a2e202492a62c546f95727c7e2fc7e1718c1a9abc698b7a7f9d0
NaN, 2013 ,IsNaN|NaN,/tmp/work/0/0b5852626f50f4cff288ffe7c1fb15141d624e130dece677c6c35edc175f23ac
