SEARCH,YEARS,PATTRN,HASHfile
truncation vulnerability, 2008 ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/0/0f9b888c3533fd214efa19f7a994d64e7d58c4f3121757ba648752b1832fca17
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/0/0b06a013cff1cddece69d307b0844a8b761b17216e286b08c296fe707efc8216
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/0/0a18e0e20e89a603ade72682e444e5d4069dd662ccca35a06bae6f700bcad381
truncation attack, 2005 ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/0/04e9318523c10f9772d0578a65f64b45b06bc67c59d185263948cc816d70d400
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/1/1c26f3bbadee037ebc8f5c2fe4e8367c867f7eaf6e6cbb148d6a986c6737617c
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/1/1acc44883d91d05b3ade87f3c001f782bfd824c8fab4405cb7ca0e94726ed900
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/1/16e24261e43e0af4951be89c56cc71c9ec21d2b02ed777ea2b444c194abad87b
truncation vulnerability, 2011 2012 2013 ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/1/18ecce4a237b32d30ed612eda4262c0406963c817c07ead92cb81d97d01be522
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/1/170a72f42e314d55ddb6224be2a6c66901487337db1d35d76ce8b161946d66cc
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/1/18e4a41b0328d66de6c6a319a86ea5922092fa6577ffdab404d4f2890a3670ee
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/1/159181ba11a9ac660af1f32bbe85179be17449836c4d1be1683fb78bf70f0a5c
truncation vulnerability, 2020 ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/2/2ced1d646b2024083d83255bdd3e30c4eaec1441708090de71869a2328384f9e
truncation vulnerability, 2004 ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/2/2e630b75717b9649e7727d22440418a3bd075ae37b1e03e537fb19143c412a5e
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/2/2792d69409ec59a0b53675b94104be29e6c653ee49f03a33fe760093ba70c580
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/3/337fad24493b96fdeb2008ec774f67a22767e49225b5e46983a12c2e60e17b0c
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/3/3a1d2343671d12c5630a59ca7a2b9bc794c196808fbe75226f17180002e24fb5
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/3/36c919c2a1517c56a04c269a48eb0f22ee51b2f2db8971071d3f6ba01f402fa0
truncation vulnerability, ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/5/51bf6b9af1a150c57d6031be9938ef7997c1728ffdc6178e75f5262d7d3ed4e2
truncation attack, 2018 ,[Tt]ermination vulnerability|[Tt]ermination attack|[Tt]runcation vulnerability|[Tt]runcation attack,/tmp/work/5/52ea4d41420a83c064f93ff3545591f2a4a5cc5e39dd42a94445344f3c9eff29
